engine_hp,msrp
335.0,46135
300.0,40650
300.0,36350
230.0,29450
230.0,34500
230.0,31200
300.0,44100
300.0,39300
230.0,36900
230.0,37200
300.0,39600
230.0,31500
300.0,44400
230.0,37200
230.0,31500
320.0,48250
320.0,43550
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
160.0,27495
160.0,24995
160.0,28195
130.0,2000
158.0,2000
158.0,2000
130.0,2000
130.0,2000
158.0,2000
240.0,32850
240.0,38650
320.0,48750
240.0,34850
240.0,40650
320.0,44150
240.0,32850
320.0,46150
320.0,50750
335.0,46450
335.0,49050
335.0,51050
335.0,44450
248.0,38950
248.0,33150
248.0,35150
248.0,40950
162.0,2000
162.0,2000
162.0,2000
217.0,2000
217.0,2000
162.0,2000
184.0,25170
184.0,23950
295.0,29370
184.0,21995
184.0,26625
295.0,30825
184.0,21995
184.0,27795
295.0,31785
295.0,29905
184.0,22490
184.0,27570
184.0,25690
184.0,24490
295.0,29905
295.0,31785
184.0,26685
184.0,22490
184.0,25690
295.0,30900
184.0,27795
184.0,21995
184.0,24490
115.0,2000
115.0,2000
140.0,2000
140.0,2000
115.0,2000
115.0,2000
115.0,2000
115.0,2000
140.0,2073
155.0,3713
155.0,3520
155.0,3910
155.0,4182
155.0,4107
155.0,4299
155.0,4693
155.0,4107
114.0,2000
114.0,2000
114.0,2000
114.0,2000
114.0,2000
114.0,2000
114.0,2000
114.0,2000
100.0,16020
100.0,14530
100.0,16860
100.0,15370
100.0,17050
100.0,15560
100.0,16210
100.0,14720
100.0,17050
100.0,15560
100.0,16210
100.0,14720
300.0,47250
240.0,41850
240.0,41850
240.0,43000
300.0,49200
320.0,49650
248.0,43950
241.0,41950
335.0,50150
240.0,37500
300.0,43750
180.0,39000
240.0,39500
240.0,39500
180.0,34950
300.0,45750
180.0,43450
240.0,37500
180.0,41000
180.0,32950
180.0,41850
320.0,47800
180.0,39850
240.0,38350
240.0,40350
240.0,38350
240.0,42650
180.0,33150
180.0,35150
180.0,44150
320.0,45800
248.0,38750
180.0,35450
180.0,33450
248.0,40750
180.0,42250
248.0,42950
180.0,40250
320.0,49900
320.0,47900
180.0,44450
177.0,2232
177.0,2000
158.0,2000
177.0,2105
177.0,2199
177.0,2000
177.0,2124
228.0,3552
217.0,2179
121.0,2000
121.0,2000
228.0,2377
228.0,3814
177.0,2207
177.0,2000
217.0,2248
177.0,2065
148.0,2547
177.0,2282
158.0,2000
177.0,2544
217.0,2397
121.0,2000
228.0,4174
217.0,2187
148.0,2729
177.0,2433
194.0,2247
228.0,2540
218.0,3941
161.0,3295
320.0,6008
320.0,6710
161.0,3701
218.0,4671
218.0,5306
320.0,7600
161.0,4090
300.0,37570
292.0,31695
292.0,38070
292.0,44895
300.0,35070
292.0,42395
292.0,34195
292.0,40570
300.0,38095
300.0,35595
292.0,45190
292.0,32260
292.0,37755
292.0,41055
300.0,36090
292.0,42690
292.0,38555
292.0,35255
300.0,38590
292.0,34760
292.0,41135
292.0,45270
300.0,38670
292.0,38635
300.0,36170
300.0,38175
292.0,32340
292.0,42770
292.0,34840
300.0,35675
250.0,32065
250.0,28540
255.0,32315
250.0,28885
250.0,29185
255.0,32615
222.0,2847
222.0,2488
300.0,2683
222.0,2553
300.0,3049
222.0,2774
222.0,2702
222.0,3101
300.0,3510
222.0,3107
222.0,3624
222.0,3185
82.0,2000
82.0,2000
82.0,2000
82.0,2000
82.0,2000
134.0,2144
134.0,2098
134.0,2178
134.0,2311
306.0,36550
306.0,41250
306.0,30600
306.0,37100
306.0,27900
306.0,32700
306.0,40250
306.0,35550
